date,store_id,product_id,category,base_price,current_price,promotion,holiday,inventory_level,days_since_restock,units_sold
2025-01-01,STORE-01,PRODUCT-001,beverages,3.49,3.52,0,1,504.0,0.0,54
2025-01-01,STORE-01,PRODUCT-002,beverages,5.99,5.98,0,1,,0.0,34
2025-01-01,STORE-01,PRODUCT-003,snacks,2.99,3.03,0,1,432.0,0.0,67
2025-01-01,STORE-01,PRODUCT-004,snacks,4.49,4.47,0,1,252.0,0.0,33
2025-01-01,STORE-01,PRODUCT-005,household,8.99,9.17,0,1,192.0,0.0,26
2025-01-01,STORE-01,PRODUCT-006,household,12.99,13.02,0,1,120.0,0.0,18
2025-01-01,STORE-02,PRODUCT-001,beverages,3.49,3.46,0,1,504.0,0.0,50
2025-01-01,STORE-02,PRODUCT-002,beverages,5.99,5.94,0,1,,0.0,38
2025-01-01,STORE-02,PRODUCT-003,snacks,2.99,,0,1,432.0,0.0,42
2025-01-01,STORE-02,PRODUCT-004,snacks,4.49,4.46,0,1,,0.0,25
2025-01-01,STORE-02,PRODUCT-005,household,8.99,9.16,0,1,192.0,0.0,22
2025-01-01,STORE-02,PRODUCT-006,household,12.99,13.16,0,1,120.0,0.0,11
2025-01-01,STORE-03,PRODUCT-001,beverages,3.49,3.53,0,1,504.0,0.0,75
2025-01-01,STORE-03,PRODUCT-002,beverages,5.99,5.87,0,1,312.0,0.0,46
2025-01-01,STORE-03,PRODUCT-003,snacks,2.99,2.95,0,1,432.0,0.0,53
2025-01-01,STORE-03,PRODUCT-004,snacks,4.49,4.46,0,1,252.0,0.0,26
2025-01-01,STORE-03,PRODUCT-005,household,8.99,9.09,0,1,192.0,0.0,31
2025-01-01,STORE-03,PRODUCT-006,household,12.99,13.05,0,1,120.0,0.0,10
2025-01-01,STORE-04,PRODUCT-001,beverages,3.49,3.47,0,1,504.0,0.0,78
2025-01-01,STORE-04,PRODUCT-002,beverages,5.99,5.93,0,1,312.0,0.0,34
2025-01-01,STORE-04,PRODUCT-003,snacks,2.99,2.97,0,1,432.0,0.0,40
2025-01-01,STORE-04,PRODUCT-004,snacks,4.49,4.49,0,1,252.0,0.0,20
2025-01-01,STORE-04,PRODUCT-005,household,8.99,8.82,0,1,192.0,0.0,23
2025-01-01,STORE-04,PRODUCT-006,household,12.99,13.16,0,1,120.0,0.0,7
2025-01-02,STORE-01,PRODUCT-001,beverages,3.49,3.43,0,0,450.0,,47
2025-01-02,STORE-01,PRODUCT-002,beverages,5.99,6.05,0,0,278.0,1.0,17
2025-01-02,STORE-01,PRODUCT-003,snacks,2.99,2.97,0,0,365.0,1.0,24
2025-01-02,STORE-01,PRODUCT-004,snacks,4.49,4.41,0,0,219.0,1.0,27
2025-01-02,STORE-01,PRODUCT-005,household,8.99,9.0,0,0,166.0,1.0,23
2025-01-02,STORE-01,PRODUCT-006,household,12.99,12.91,0,0,102.0,1.0,13
2025-01-02,STORE-02,PRODUCT-001,beverages,3.49,,0,0,454.0,1.0,40
2025-01-02,STORE-02,PRODUCT-002,beverages,5.99,5.88,0,0,274.0,1.0,26
2025-01-02,STORE-02,PRODUCT-003,snacks,2.99,2.96,0,0,390.0,1.0,25
2025-01-02,STORE-02,PRODUCT-004,snacks,4.49,4.41,0,0,227.0,1.0,13
2025-01-02,STORE-02,PRODUCT-005,household,8.99,9.12,0,0,,1.0,21
2025-01-02,STORE-02,PRODUCT-006,household,12.99,13.24,0,0,109.0,1.0,4
2025-01-02,STORE-03,PRODUCT-001,beverages,3.49,3.51,0,0,,1.0,47
2025-01-02,STORE-03,PRODUCT-002,beverages,5.99,4.95,1,0,266.0,1.0,65
2025-01-02,STORE-03,PRODUCT-003,snacks,2.99,2.93,0,0,379.0,1.0,32
2025-01-02,STORE-03,PRODUCT-004,snacks,4.49,4.44,0,0,226.0,1.0,24
2025-01-02,STORE-03,PRODUCT-005,household,8.99,8.86,0,0,161.0,1.0,32
2025-01-02,STORE-03,PRODUCT-006,household,12.99,12.77,0,0,110.0,1.0,2
2025-01-02,STORE-04,PRODUCT-001,beverages,3.49,3.51,0,0,426.0,1.0,47
2025-01-02,STORE-04,PRODUCT-002,beverages,5.99,5.92,0,0,278.0,1.0,18
2025-01-02,STORE-04,PRODUCT-003,snacks,2.99,3.01,0,0,392.0,1.0,13
2025-01-02,STORE-04,PRODUCT-004,snacks,4.49,4.43,0,0,232.0,1.0,9
2025-01-02,STORE-04,PRODUCT-005,household,8.99,9.07,0,0,169.0,1.0,14
2025-01-02,STORE-04,PRODUCT-006,household,12.99,13.02,0,0,113.0,1.0,5
2025-01-03,STORE-01,PRODUCT-001,beverages,3.49,3.5,0,0,403.0,2.0,40
2025-01-03,STORE-01,PRODUCT-002,beverages,5.99,6.06,0,0,261.0,2.0,22
2025-01-03,STORE-01,PRODUCT-003,snacks,2.99,3.02,0,0,341.0,2.0,15
2025-01-03,STORE-01,PRODUCT-004,snacks,4.49,4.47,0,0,192.0,2.0,26
2025-01-03,STORE-01,PRODUCT-005,household,8.99,8.84,0,0,143.0,2.0,19
2025-01-03,STORE-01,PRODUCT-006,household,12.99,12.81,0,0,,2.0,10
2025-01-03,STORE-02,PRODUCT-001,beverages,3.49,3.56,0,0,414.0,2.0,19
2025-01-03,STORE-02,PRODUCT-002,beverages,5.99,5.96,0,0,248.0,2.0,36
2025-01-03,STORE-02,PRODUCT-003,snacks,2.99,3.0,0,0,,2.0,5
2025-01-03,STORE-02,PRODUCT-004,snacks,4.49,4.44,0,0,214.0,2.0,17
2025-01-03,STORE-02,PRODUCT-005,household,8.99,8.98,0,0,149.0,2.0,13
2025-01-03,STORE-02,PRODUCT-006,household,12.99,13.15,0,0,105.0,2.0,10
2025-01-03,STORE-03,PRODUCT-001,beverages,3.49,3.44,0,0,382.0,2.0,50
2025-01-03,STORE-03,PRODUCT-002,beverages,5.99,5.97,0,0,201.0,2.0,44
2025-01-03,STORE-03,PRODUCT-003,snacks,2.99,2.35,1,0,347.0,2.0,60
2025-01-03,STORE-03,PRODUCT-004,snacks,4.49,4.56,0,0,202.0,2.0,17
2025-01-03,STORE-03,PRODUCT-005,household,8.99,8.91,0,0,129.0,2.0,27
2025-01-03,STORE-03,PRODUCT-006,household,12.99,13.21,0,0,108.0,2.0,5
2025-01-03,STORE-04,PRODUCT-001,beverages,3.49,3.53,0,0,379.0,2.0,20
2025-01-03,STORE-04,PRODUCT-002,beverages,5.99,6.01,0,0,260.0,2.0,26
2025-01-03,STORE-04,PRODUCT-003,snacks,2.99,3.04,0,0,379.0,2.0,19
2025-01-03,STORE-04,PRODUCT-004,snacks,4.49,4.53,0,0,223.0,2.0,14
2025-01-03,STORE-04,PRODUCT-005,household,8.99,8.92,0,0,155.0,2.0,12
2025-01-03,STORE-04,PRODUCT-006,household,12.99,13.02,0,0,108.0,2.0,7
2025-01-04,STORE-01,PRODUCT-001,beverages,3.49,3.46,0,0,363.0,3.0,52
2025-01-04,STORE-01,PRODUCT-002,beverages,5.99,4.73,1,0,239.0,3.0,64
2025-01-04,STORE-01,PRODUCT-003,snacks,2.99,2.95,0,0,326.0,3.0,33
2025-01-04,STORE-01,PRODUCT-004,snacks,4.49,4.43,0,0,166.0,3.0,38
2025-01-04,STORE-01,PRODUCT-005,household,8.99,9.09,0,0,124.0,3.0,22
2025-01-04,STORE-01,PRODUCT-006,household,12.99,13.02,0,0,79.0,3.0,9
2025-01-04,STORE-02,PRODUCT-001,beverages,3.49,3.5,0,0,395.0,3.0,18
2025-01-04,STORE-02,PRODUCT-002,beverages,5.99,6.1,0,0,212.0,3.0,33
2025-01-04,STORE-02,PRODUCT-003,snacks,2.99,2.99,0,0,360.0,3.0,38
2025-01-04,STORE-02,PRODUCT-004,snacks,4.49,4.48,0,0,197.0,3.0,21
2025-01-04,STORE-02,PRODUCT-005,household,8.99,8.93,0,0,136.0,3.0,23
2025-01-04,STORE-02,PRODUCT-006,household,12.99,,0,0,95.0,3.0,7
2025-01-04,STORE-03,PRODUCT-001,beverages,3.49,3.43,0,0,332.0,3.0,72
2025-01-04,STORE-03,PRODUCT-002,beverages,5.99,6.01,0,0,157.0,3.0,45
2025-01-04,STORE-03,PRODUCT-003,snacks,2.99,3.0,0,0,287.0,3.0,51
2025-01-04,STORE-03,PRODUCT-004,snacks,4.49,4.43,0,0,185.0,3.0,26
2025-01-04,STORE-03,PRODUCT-005,household,8.99,,0,0,102.0,,22
2025-01-04,STORE-03,PRODUCT-006,household,12.99,10.84,1,0,103.0,3.0,16
2025-01-04,STORE-04,PRODUCT-001,beverages,3.49,2.67,1,0,359.0,3.0,84
2025-01-04,STORE-04,PRODUCT-002,beverages,5.99,6.03,0,0,234.0,3.0,37
2025-01-04,STORE-04,PRODUCT-003,snacks,2.99,2.98,0,0,360.0,3.0,27
2025-01-04,STORE-04,PRODUCT-004,snacks,4.49,4.57,0,0,209.0,3.0,15
2025-01-04,STORE-04,PRODUCT-005,household,8.99,9.16,0,0,143.0,3.0,11
2025-01-04,STORE-04,PRODUCT-006,household,12.99,12.78,0,0,101.0,3.0,9
2025-01-05,STORE-01,PRODUCT-001,beverages,3.49,3.48,0,0,311.0,4.0,67
2025-01-05,STORE-01,PRODUCT-002,beverages,5.99,6.08,0,0,175.0,4.0,25
2025-01-05,STORE-01,PRODUCT-003,snacks,2.99,2.99,0,0,293.0,4.0,49
2025-01-05,STORE-01,PRODUCT-004,snacks,4.49,4.54,0,0,128.0,4.0,39
2025-01-05,STORE-01,PRODUCT-005,household,8.99,8.82,0,0,102.0,4.0,16
2025-01-05,STORE-01,PRODUCT-006,household,12.99,12.79,0,0,70.0,4.0,12
2025-01-05,STORE-02,PRODUCT-001,beverages,3.49,3.5,0,0,377.0,,50
2025-01-05,STORE-02,PRODUCT-002,beverages,5.99,5.96,0,0,179.0,4.0,27
2025-01-05,STORE-02,PRODUCT-003,snacks,2.99,3.01,0,0,322.0,4.0,39
2025-01-05,STORE-02,PRODUCT-004,snacks,4.49,4.43,0,0,176.0,4.0,5
2025-01-05,STORE-02,PRODUCT-005,household,8.99,9.12,0,0,113.0,4.0,24
2025-01-05,STORE-02,PRODUCT-006,household,12.99,13.15,0,0,88.0,4.0,6
2025-01-05,STORE-03,PRODUCT-001,beverages,3.49,3.46,0,0,260.0,4.0,48
2025-01-05,STORE-03,PRODUCT-002,beverages,5.99,6.08,0,0,112.0,4.0,29
2025-01-05,STORE-03,PRODUCT-003,snacks,2.99,2.93,0,0,236.0,4.0,58
2025-01-05,STORE-03,PRODUCT-004,snacks,4.49,4.54,0,0,159.0,4.0,26
2025-01-05,STORE-03,PRODUCT-005,household,8.99,8.83,0,0,80.0,4.0,26
2025-01-05,STORE-03,PRODUCT-006,household,12.99,12.87,0,0,87.0,4.0,10
2025-01-05,STORE-04,PRODUCT-001,beverages,3.49,3.44,0,0,275.0,4.0,47
2025-01-05,STORE-04,PRODUCT-002,beverages,5.99,6.02,0,0,197.0,4.0,34
2025-01-05,STORE-04,PRODUCT-003,snacks,2.99,2.98,0,0,333.0,4.0,48
2025-01-05,STORE-04,PRODUCT-004,snacks,4.49,3.82,1,0,194.0,4.0,40
2025-01-05,STORE-04,PRODUCT-005,household,8.99,8.81,0,0,132.0,4.0,11
2025-01-05,STORE-04,PRODUCT-006,household,12.99,12.99,0,0,92.0,4.0,9
2025-01-06,STORE-01,PRODUCT-001,beverages,3.49,3.46,0,0,244.0,5.0,33
2025-01-06,STORE-01,PRODUCT-002,beverages,5.99,6.05,0,0,150.0,5.0,20
2025-01-06,STORE-01,PRODUCT-003,snacks,2.99,3.0,0,0,244.0,5.0,39
2025-01-06,STORE-01,PRODUCT-004,snacks,4.49,4.51,0,0,89.0,5.0,33
2025-01-06,STORE-01,PRODUCT-005,household,8.99,,0,0,,5.0,13
2025-01-06,STORE-01,PRODUCT-006,household,12.99,9.85,1,0,58.0,5.0,22
2025-01-06,STORE-02,PRODUCT-001,beverages,3.49,3.48,0,0,327.0,5.0,42
2025-01-06,STORE-02,PRODUCT-002,beverages,5.99,5.96,0,0,152.0,5.0,28
2025-01-06,STORE-02,PRODUCT-003,snacks,2.99,3.03,0,0,283.0,5.0,18
2025-01-06,STORE-02,PRODUCT-004,snacks,4.49,4.58,0,0,171.0,5.0,4
2025-01-06,STORE-02,PRODUCT-005,household,8.99,9.09,0,0,89.0,5.0,23
2025-01-06,STORE-02,PRODUCT-006,household,12.99,13.02,0,0,82.0,5.0,8
2025-01-06,STORE-03,PRODUCT-001,beverages,3.49,3.5,0,0,212.0,5.0,55
2025-01-06,STORE-03,PRODUCT-002,beverages,5.99,,0,0,83.0,5.0,3
2025-01-06,STORE-03,PRODUCT-003,snacks,2.99,3.02,0,0,178.0,5.0,60
2025-01-06,STORE-03,PRODUCT-004,snacks,4.49,4.57,0,0,133.0,5.0,15
2025-01-06,STORE-03,PRODUCT-005,household,8.99,8.96,0,0,54.0,5.0,23
2025-01-06,STORE-03,PRODUCT-006,household,12.99,9.33,1,0,77.0,5.0,20
2025-01-06,STORE-04,PRODUCT-001,beverages,3.49,3.46,0,0,228.0,5.0,41
2025-01-06,STORE-04,PRODUCT-002,beverages,5.99,5.99,0,0,163.0,5.0,23
2025-01-06,STORE-04,PRODUCT-003,snacks,2.99,3.03,0,0,285.0,5.0,31
2025-01-06,STORE-04,PRODUCT-004,snacks,4.49,4.49,0,0,154.0,5.0,24
2025-01-06,STORE-04,PRODUCT-005,household,8.99,8.84,0,0,121.0,5.0,7
2025-01-06,STORE-04,PRODUCT-006,household,12.99,12.8,0,0,83.0,5.0,12
2025-01-07,STORE-01,PRODUCT-001,beverages,3.49,3.48,0,0,211.0,6.0,32
2025-01-07,STORE-01,PRODUCT-002,beverages,5.99,5.89,0,0,130.0,6.0,27
2025-01-07,STORE-01,PRODUCT-003,snacks,2.99,2.93,0,0,,6.0,31
2025-01-07,STORE-01,PRODUCT-004,snacks,4.49,4.41,0,0,56.0,6.0,32
2025-01-07,STORE-01,PRODUCT-005,household,8.99,9.01,0,0,73.0,6.0,11
2025-01-07,STORE-01,PRODUCT-006,household,12.99,12.77,0,0,36.0,6.0,10
2025-01-07,STORE-02,PRODUCT-001,beverages,3.49,3.46,0,0,285.0,6.0,25
2025-01-07,STORE-02,PRODUCT-002,beverages,5.99,5.93,0,0,124.0,6.0,26
2025-01-07,STORE-02,PRODUCT-003,snacks,2.99,2.99,0,0,265.0,6.0,26
2025-01-07,STORE-02,PRODUCT-004,snacks,4.49,,0,0,167.0,6.0,7
